Complexity,Loss,Equation
1,0.046414327,"0.39608884"
3,0.006264366,"0.8411628 - x0"
4,0.0036507968,"exp(x0 * -2.5003765)"
5,0.0023146614,"0.21801887 / (x0 + 0.22062485)"
6,0.0014409773,"exp(x0 * -2.0809145) * 0.8626572"
7,0.0012675977,"(0.66150624 / (x0 + 0.5437053)) - 0.32823235"
9,0.0012674408,"(1.3543637 / ((x0 + x0) + 1.1071182)) + -0.33684215"
11,0.00073127024,"exp(exp(-0.010140112 / x0) * (-0.21942878 - (x0 + x0)))"
13,0.00039706385,"exp((exp(-0.004639548 / x0) * -0.40612784) - ((x0 + -0.20407437) + x0))"
14,0.00036821977,"exp(((-0.5214734 / (x0 + 0.0044400934)) * x0) - ((x0 + x0) + -0.31904492))"
16,0.0003604112,"exp((x0 * (-0.5940536 / (x0 + 0.004052247))) - ((x0 + (x0 * 0.96502477)) + -0.38743368))"
18,0.00035441204,"exp((x0 * (-0.5940536 / (x0 + 0.004052247))) - ((x0 + (x0 * 0.96502477)) + -0.38743368)) * 0.9979473"
20,0.00034306303,"exp(((-0.5940536 / (x0 + 0.004052247)) * x0) - ((((x0 + x0) + 0.004052247) * 0.96502477) + -0.38743368)) * 0.9979473"
