Complexity,Loss,Equation
1,0.046414323,"0.39606544"
3,0.006264366,"0.8411465 - x0"
4,0.0036507968,"exp(x0 * -2.5003786)"
5,0.0023146607,"0.21798368 / (x0 + 0.2205794)"
6,0.0014409773,"exp(x0 / -0.48060685) * 0.86262256"
7,0.001267432,"(0.67393595 / (x0 + 0.5515935)) + -0.33500043"
8,0.0012643217,"(1.0758007 / (x0 + exp(x0))) + -0.1937007"
9,0.0010046877,"exp(exp(x0) * (x0 / (-0.1974592 - x0)))"
11,0.0007812465,"exp(((exp(x0) + -0.30421358) * x0) / (-0.09387066 - x0))"
12,0.00012182104,"(exp(x0 / (-0.0194232 - x0)) + 0.2772412) - (x0 / 1.5533)"
13,0.00011396646,"((((x0 + 0.9839021) * x0) / (-0.012135013 - x0)) + 1.9732136) / 1.5568119"
15,4.778847e-5,"((x0 * ((x0 + 0.9981755) / (-0.005049339 - x0))) + 2.1416306) / (x0 + 1.5518273)"
16,4.7368507e-5,"exp((x0 / (-0.013014984 - (x0 * ((x0 - 1.3909783) * -1.1843159)))) + (0.29407945 - x0))"
17,4.5557998e-5,"((((x0 * x0) + x0) / (-0.005049339 - x0)) + 2.1416306) / ((x0 / 1.0372026) + 1.5518273)"
18,4.274234e-5,"exp(((x0 / (-0.013661332 - (x0 * ((x0 - 1.3761902) * -1.1790353)))) + 0.29099345) - (x0 / 1.0569228))"
19,9.034264e-6,"exp((x0 / (-0.011603161 - ((x0 - 1.2016612) * (x0 * -1.4052758)))) + ((0.30711213 - x0) / exp(x0)))"
