Complexity,Loss,Equation
1,0.046414323,"0.39606547"
3,0.0036507968,"0.08205275 ^ x0"
5,0.00046263883,"1.0734012 - (x0 ^ 0.40209585)"
7,0.00041756334,"(1.0746381 - (x0 ^ 0.3474054)) * 1.0843035"
8,0.00014179028,"1.2838842 - ((x0 * exp(x0)) ^ 0.22088075)"
9,0.0001016295,"1.4937749 - ((x0 * exp(exp(x0))) ^ 0.15259358)"
10,5.853486e-5,"1.4773984 - ((x0 * exp(2.2609851 ^ x0)) ^ 0.16962564)"
12,5.155612e-5,"1.4928213 - (((exp(x0 ^ 1.7630215) * 3.4630399) * x0) ^ 0.17714886)"
13,3.433083e-5,"(0.35171342 ^ ((x0 * 4.0347066) ^ (0.28139246 / (0.33544046 ^ x0)))) / 0.6931348"
17,3.4329907e-5,"(0.35120434 ^ ((x0 + (x0 * (2.0328157 + 0.98566425))) ^ (0.28165138 / (0.33514172 ^ x0)))) / 0.69324136"
19,3.43299e-5,"(0.35120434 ^ ((x0 * ((2.0328157 + 0.98566425) + (x0 / x0))) ^ (0.28165138 / (0.33514172 ^ x0)))) / 0.69324136"
