Complexity,Loss,Equation
1,0.046414323,"0.39606547"
3,0.0036507968,"0.08205287 ^ x0"
5,0.0004626389,"1.0733892 - (x0 ^ 0.40212166)"
7,0.00041756325,"1.1653228 - ((x0 ^ 0.34732285) * 1.0843346)"
8,0.0001417903,"1.2838868 - ((x0 * exp(x0)) ^ 0.22088003)"
9,7.2194656e-5,"1.5102549 * ((0.9905343 - (x0 ^ 0.13373804)) ^ 0.6005005)"
10,7.213828e-5,"(0.99176735 - (x0 ^ 0.23350002)) / (0.68797755 / exp(x0))"
11,4.1590214e-5,"((x0 + 0.8930967) * (1.002388 - (x0 ^ 0.22746542))) / 0.61928886"
13,2.6863036e-5,"((1.046531 - (x0 ^ 1.5747211)) * 0.55781084) / ((x0 ^ 0.33916903) + 0.40596125)"
15,2.6829764e-5,"(1.0454541 - (x0 ^ 1.5740647)) * ((0.5560891 / ((x0 ^ 0.33915874) + 0.40491524)) - -0.0019401072)"
17,2.6499689e-5,"(((x0 / x0) - (x0 ^ 1.5672292)) * (0.55727136 / ((x0 ^ 0.34210095) + 0.39271212))) - -0.018864006"
19,1.9028497e-5,"((1.0456295 - (x0 ^ 1.575868)) / (((x0 / ((0.002981492 / x0) + 1.0205609)) ^ 0.34027997) + 0.42439255)) * 0.56298184"
