Complexity,Loss,Equation
1,0.046414323,"0.39606544"
3,0.0036507968,"0.08206826 ^ x0"
5,0.00046263885,"1.0733893 - (x0 ^ 0.40210563)"
7,0.00031676417,"2.2295592 - (2.155805 ^ (x0 ^ 0.24193871))"
8,0.00014179027,"1.2838835 - ((x0 * exp(x0)) ^ 0.22088149)"
9,0.00012284612,"(1.5355078 - ((x0 * 9.28485) ^ 0.19400562)) ^ 0.6751031"
10,5.853474e-5,"1.4774201 - ((exp(2.2613623 ^ x0) * x0) ^ 0.16961794)"
11,4.8393355e-5,"1.4868256 - (((x0 * 3.6726413) ^ (x0 + 1.550519)) ^ 0.11647296)"
13,2.0437586e-5,"((1.6977576 / ((1.7024282 / x0) ^ (x0 ^ 0.46673363))) - x0) ^ 0.68749666"
15,1.463119e-5,"(1.431223 / (((1.7887003 / (x0 - -0.012634255)) ^ (x0 ^ 0.39849383)) ^ 0.5752639)) - x0"
17,1.4624947e-5,"((1.4318045 / (((1.7903655 / (x0 - -0.013224995)) ^ (x0 ^ 0.39801076)) ^ 0.57766926)) - x0) ^ 0.99500805"
19,1.40687835e-5,"((1.4428589 / (((1.8082902 / (x0 - -0.012840493)) ^ (x0 ^ 0.39533508)) ^ 0.5785382)) - x0) ^ (x0 ^ 0.0025921224)"
