Complexity,Loss,Equation
1,0.046414323,"0.39606544"
3,0.0036507968,"0.08205333 ^ x0"
5,0.00046263883,"1.073398 - (x0 ^ 0.40209693)"
7,0.0004175633,"(1.0746874 - (x0 ^ 0.34738424)) * 1.0842448"
9,8.382e-5,"(x0 + 1.3124012) * (1.0122063 - (x0 ^ 0.26600197))"
10,7.213282e-5,"(0.99181724 - (x0 ^ 0.23319843)) * exp(x0 + 0.37480876)"
11,4.1587893e-5,"((1.0024831 - (x0 ^ 0.22772267)) / 0.6217555) * (x0 + 0.89601296)"
13,3.6581067e-5,"(((x0 + 0.50993156) ^ 0.641107) * (1.0056959 - (x0 ^ 0.22061695))) / 0.44697723"
15,2.5135025e-5,"((((x0 + 0.13091348) ^ 0.19876893) * (1.4440067 - (x0 ^ 0.27521485))) / 0.36239755) - 1.2255079"
17,2.4807347e-5,"((((x0 + 0.133419) ^ 0.20127052) * ((1.4550079 - (x0 ^ 0.27632248)) / 0.38237387)) - 1.1932747) / 0.9325206"
