Complexity,Loss,Equation
1,0.00087505474,"0.073248245"
5,7.526539e-5,"x0 - (x0 ^ 1.3238913)"
7,2.403807e-5,"((0.05399071 ^ x0) * x0) + -0.021274328"
8,2.403806e-5,"(x0 * exp(x0 * -2.9191236)) + -0.021267155"
9,1.4374611e-5,"(x0 * ((0.07976622 ^ x0) + -0.04112299)) - 0.021726752"
10,1.4374527e-5,"(x0 * (exp(x0 * -2.528081) + -0.041215498)) + -0.021717882"
11,1.1069875e-5,"((x0 ^ 1.3037322) * (0.022588836 ^ (x0 + -0.15686487))) - 0.012555043"
12,1.1019637e-5,"(exp((x0 * -3.8755362) + 0.6484435) * (x0 ^ 1.3321332)) + -0.011553516"
14,1.0920265e-5,"((x0 ^ 1.2817628) * (exp((x0 * -3.639186) + 0.53026587) + -0.0071110902)) + -0.01209555"
15,6.2530708e-6,"x0 * ((((0.075919375 ^ x0) * (x0 ^ 0.80738693)) + -0.051455796) / (x0 + 0.04119807))"
17,6.212204e-6,"(x0 * ((((0.07610427 ^ x0) * (x0 ^ 0.8072577)) + -0.052838966) / (x0 + 0.041781645))) + 0.0012191236"
19,5.812494e-6,"((x0 ^ 0.8973153) * (x0 - 0.028246334)) * ((x0 * -0.023939129) + ((0.045645177 ^ x0) / (x0 + 0.035835557)))"
