Complexity,Loss,Equation
1,0.028381146,"0.3688226"
3,0.01179207,"0.81386465 - x0"
4,0.006098135,"exp(-0.5450251 - x0)"
5,0.0015531153,"1.6262308 - (1.6412512 ^ x0)"
6,0.0012919211,"0.58439523 - exp(-0.67216516 / x0)"
7,0.00036709086,"(x0 ^ 0.120775126) - (x0 ^ 0.78566134)"
9,0.00025651327,"((x0 ^ 0.3528379) - (x0 ^ 0.39137313)) * 16.11792"
10,0.0001984156,"((x0 ^ 0.08992827) / (exp(x0) + -0.25269413)) - 0.3462106"
11,0.00014781272,"((x0 ^ 0.33287022) - ((x0 ^ 0.36584547) * 0.99834186)) * 17.3764"
13,5.2115334e-5,"(((x0 ^ 0.24858189) - x0) * ((x0 * 0.6159547) ^ x0)) * 1.7475424"
15,2.1348575e-5,"((((x0 ^ 0.42875338) - (x0 ^ 0.4909755)) * 16.23975) * (x0 ^ x0)) + -0.026370125"
16,2.1175118e-5,"(9.887216 - exp(x0)) * ((x0 ^ x0) * ((x0 ^ 0.41689387) - (x0 ^ 0.5308213)))"
17,1.9370616e-5,"(((10.079184 - x0) * (x0 ^ x0)) * ((x0 ^ 0.42061326) - (x0 ^ 0.5227822))) + -0.014091962"
18,1.8721077e-5,"((x0 ^ 0.40739924) - (x0 ^ 0.5789477)) * (((x0 ^ x0) * 7.3591213) - exp(x0 * x0))"
19,9.389817e-6,"(7.4669986 - (x0 ^ -0.20442395)) * (((x0 ^ 0.32440236) + (-0.002679901 - (x0 ^ 0.47056875))) * (x0 ^ x0))"
