Complexity,Loss,Equation
1,0.3907834,"1.2326019"
3,0.19736123,"1.732455 - p"
5,0.12683111,"(r / 0.26216894) ^ k1"
7,0.055280615,"((k1 + k2) / 0.46938753) ^ r"
9,0.013296357,"((k2 + k1) / (0.5891031 / r)) + 0.5677617"
11,0.009211145,"((k2 + k1) / ((0.43029675 / r) + 0.18560217)) - -0.5062223"
13,0.0006125536,"(r + 0.12791781) / (0.5572476 / ((k1 ^ r) + (k2 ^ r)))"
15,0.00032290514,"((r ^ 1.055412) + 0.13872346) / (0.5546378 / ((k2 ^ r) + (k1 ^ r)))"
17,0.0001488766,"-3.4662097 / ((-1.5264809 / ((k1 ^ r) + (k2 ^ r))) / ((0.21336734 ^ p) + -0.10326276))"
19,7.801638e-5,"(((r ^ 1.089871) + (-0.0004745717 / p)) + 0.13974212) / (0.5426188 / ((k2 ^ r) + (k1 ^ r)))"
21,4.038196e-5,"(r + 0.31685567) / ((0.65371734 / ((k1 ^ r) + (k2 ^ r))) / (0.5396909 ^ (p - (r * p))))"
23,2.3762013e-5,"(r + 0.25737962) / ((0.4994225 / ((k2 ^ r) + (k1 ^ r))) / ((0.5012586 ^ p) - (r * (r * 0.2025978))))"
25,1.1512111e-5,"((r + 0.19361363) * (0.78714615 ^ (p - ((r * r) * (p / 0.4204347))))) / (0.59624183 / ((k1 ^ r) + (k2 ^ r)))"
27,1.0194585e-5,"((r + 0.19405405) * (0.78715914 ^ (p - (p * ((r * r) / 0.4182875))))) / (0.59819585 / ((k2 ^ r) + ((k1 ^ r) + 0.0033682433)))"
29,6.9076573e-6,"(r + 0.19334728) * ((0.7884801 ^ (p - (p * ((r * r) / 0.4199546)))) / (0.59745806 / ((k2 ^ r) + ((k3 * 0.005905126) + (k1 ^ r)))))"
