Complexity,Loss,Equation
1,0.39078346,"1.2324172"
3,0.19736126,"1.7325914 - p"
5,0.1268307,"(r / 0.26228985) ^ k1"
7,0.055280615,"((k2 + k1) * 2.1304524) ^ r"
9,0.013295823,"(r * ((k1 + k2) / 0.58971983)) - -0.56814003"
11,0.008830062,"(r * (p + ((k1 + k2) / 0.5903301))) - -0.4597558"
13,0.0005569462,"((0.2387331 ^ p) + r) * ((k2 ^ r) + (k1 ^ r))"
15,0.00014857555,"((0.2133083 ^ p) + -0.10282777) * (((k2 ^ r) + (k1 ^ r)) * 2.268585)"
17,5.4433534e-5,"2.0068996 * (((k2 ^ r) + (k1 ^ r)) * (((r * 0.09477454) + 0.13136229) ^ p))"
19,2.4665307e-5,"(((0.1813476 ^ p) * ((p ^ 0.012917353) / 0.4335993)) - 0.16256751) * ((k2 ^ r) + (k1 ^ r))"
21,1.26957975e-5,"((k1 ^ r) + (k2 ^ r)) * ((((r * (r * -0.5178492)) + (0.065123595 ^ p)) * 4.201142) - 0.020423763)"
23,1.1855307e-5,"(((((r * r) * -0.51836324) + (0.06499219 ^ p)) * 4.201183) - 0.019789223) * ((k2 ^ (r * 0.99182814)) + (k1 ^ r))"
25,8.154411e-6,"(((((r * (r * 0.086137004)) + 0.1836363) ^ p) * ((r ^ 0.017088003) / 0.47527757)) - 0.09926637) * ((k1 ^ r) + (k2 ^ r))"
