Complexity,Loss,Equation
1,0.03984307,"0.49839413"
3,0.0006165125,"0.20744847 ^ p"
5,4.9512713e-5,"0.2379227 ^ (p ^ 0.85262346)"
7,5.6935073e-7,"((p * 0.10929006) + 0.14261314) ^ p"
9,6.5613253e-9,"(0.99699116 / (-0.9935333 - p)) / (-1.0003809 - p)"
11,4.8284403e-9,"((1.0037271 / (-0.99697083 - p)) / (-1.0038095 - p)) ^ 1.0026127"
15,1.5671079e-9,"p * ((((0.99415815 / (-0.99832284 - p)) / (-0.99146026 - p)) / p) ^ 0.99958736)"
17,9.736986e-10,"(((((0.9938655 / p) ^ 0.9995597) / (-0.9982091 - p)) * p) / (-0.991348 - p)) + 0.00021944822"
21,7.0011935e-10,"(((0.9939863 / p) ^ 0.9994681) / (-0.99113005 - p)) * (p / ((-0.9979996 - p) / (1.0006757 ^ (p ^ 2.750159))))"
23,6.7588257e-10,"p * ((((0.9939863 / p) ^ 0.9994681) / ((-0.9979996 - p) / (1.0006757 ^ ((p ^ 2.9327435) * 1.0867782)))) / (-0.99113005 - p))"
25,6.741383e-10,"p * ((((0.9939863 / p) ^ 0.9994681) / ((-0.9979996 - p) / ((1.0006757 ^ p) ^ ((p * p) * 1.0978674)))) / (-0.99113005 - p))"
