Complexity,Loss,Equation
1,0.25603676,"k1"
3,0.18549415,"r + k1"
5,0.089326724,"k1 + (k2 * r)"
7,0.031765107,"(r + 0.33685768) * (k1 + k2)"
9,0.0043671294,"((k1 + k2) ^ 1.6466006) * (r + 0.22413181)"
11,0.0035807008,"(r + 0.08427598) * (p + ((k1 + k2) ^ 1.8927608))"
13,0.00136476,"((r + 0.29172966) * (p + ((k2 + k1) * 0.7726225))) ^ 2.103592"
15,0.00082902424,"(((r + 0.3044126) * (p + ((k2 + k1) * 0.8098197))) ^ 1.918323) + -0.0891733"
17,0.00081027095,"((((k2 + k1) ^ 1.7431573) + ((k1 * k2) ^ r)) * (r + 0.15199722)) * 0.7984684"
19,0.0007470167,"(((r + 0.12185492) * 0.8022625) ^ 0.93148816) * (((k1 * k2) ^ r) + ((k1 + k2) ^ 1.7489697))"
21,0.0005717394,"((((k1 * k2) ^ ((r * r) + 0.18492703)) + ((k1 + k2) ^ 1.746028)) * (r + 0.1609548)) * 0.7883736"
23,0.00047380544,"((r + 0.14642835) * (((k1 * k2) ^ (((r - -0.3041645) * r) + 0.12661132)) + ((k1 + k2) ^ 1.6742895))) * 0.83821833"
25,0.00041765982,"((r + 0.1420757) * (((k1 * k2) ^ ((r * ((0.0038270517 ^ p) - -0.70285827)) + 0.1105543)) + ((k2 + k1) ^ 1.6548107))) * 0.8577877"
