N,p_0.0,p_0.25,p_0.5,p_0.75,p_1.0
2,0.4253563567546206,0.32246892472700783,0.23045626490583787,0.19100059766413047,0.16666973011595043
4,0.3284362100574544,0.23623679157652758,0.14298850257886325,0.1108224052804282,0.10002824345451519
6,0.3107693489790882,0.1997803650883072,0.109595877382203,0.07793964316530244,0.0714353271836359
8,0.3081283264837441,0.18033637285807913,0.09106453335554841,0.06037601356831343,0.05556393226544433
10,0.29747918246752286,0.1688573180202785,0.07938412591520075,0.04948081024024876,0.045471379176371056
12,0.2908082953847173,0.16139080399065692,0.07213699166320557,0.04143151969577024,0.038500179567255106
14,0.2896454065120803,0.15548850832113106,0.06661056608054529,0.0359324721372102,0.033377989029519356
16,0.2863721840354847,0.1516775415203517,0.06294356901905185,0.03156302261069901,0.029457696167424205
18,0.2842200056024753,0.14907948312827024,0.061044998410133035,0.02875414770244846,0.026363312926818223
20,0.2823166874550354,0.14666649869865672,0.057271767572225366,0.025818555526950233,0.023910684106161532
