N,p_0.0,p_0.25,p_0.5,p_0.75,p_1.0
2,0.42209802278239705,0.32247893678732364,0.23045626490583787,0.19099364165511132,0.16667015183742517
3,0.3594728577585752,0.26773504573736573,0.174950462532247,0.14055265177803739,0.12500652482311647
4,0.3339133798875068,0.23623679157652758,0.14428022399124318,0.11081019770996317,0.10001585447112793
5,0.31281273900495055,0.2148471457345744,0.12418333661065638,0.09134986150676569,0.08334156537953957
6,0.3107693489790882,0.1997803650883072,0.10951989625973839,0.07778465092984672,0.07143474930539664
7,0.31065827237941357,0.18900437539782464,0.09847344866828418,0.06767064880415442,0.06251386398848785
8,0.30625271981570723,0.18033637285807913,0.0911364851396115,0.059925189535630315,0.055577306555457985
9,0.3038489167765501,0.17418255524152726,0.08511775264514795,0.05366811750285667,0.05001988350180132
10,0.296631059129073,0.1688573180202785,0.07957432071259862,0.04872299485852004,0.04546978756445391
11,0.29481712895272816,0.1646568907560306,0.0759270573726015,0.0446748404106255,0.04168334043801016
12,0.2916401974269017,0.16152537131644856,0.07210350511903627,0.04129822659613149,0.03848883514540336
13,0.29310686105476014,0.15894643525661636,0.06962086791064409,0.038990111123302654,0.03574870068850994
14,0.29008726901956033,0.15565285310729152,0.0672284246101664,0.0357229282932915,0.03337297890666728
15,0.28889793004068753,0.15401522674490203,0.0649968973914714,0.03367188091150093,0.03130957166875795
16,0.2827039525163757,0.15175009273820508,0.06293756881568677,0.03145463516840265,0.0294666482723865
17,0.2852303341392824,0.15143034552060952,0.06112417407914672,0.029991180150401846,0.02784818844601563
18,0.2801680890089655,0.15057937437325933,0.059833026426388505,0.02820349697638633,0.02635808864952947
19,0.2810689799038728,0.14775920600167314,0.059166999878251844,0.026849359666962717,0.025110907716956753
20,0.27918178463434257,0.14624217814385995,0.05783414051048901,0.025831025336124268,0.023910684106161532
21,0.28002583637353057,0.14540351984875413,0.05750506095720216,0.02488561540504358,0.02278157108134971
22,0.27846704570036057,0.14511660767198525,0.05522978159861941,0.0237576504685016,0.021784480813807742
