N,delta_opt,bounded_subgrad,minimax_rate
2,0.5288941364417566,0.5278214414991615,0.4082482904638631
4,0.3731786118232984,0.36895121316162555,0.31622776601683794
6,0.30577476381708085,0.30147150321067423,0.2672612419124244
8,0.26335362433804077,0.26157406440279973,0.23570226039551587
10,0.24040021475808426,0.23435638208881382,0.21320071635561041
12,0.22000471863489507,0.21423516905518228,0.19611613513818404
14,0.2016423171769577,0.19856721723638276,0.18257418583505536
16,0.1922342781535034,0.18591425435032277,0.17149858514250882
18,0.0,0.1754157807660745,0.16222142113076254
20,0.0,0.16652102220752654,0.1543033499620919
22,0.0,0.1588582736433126,0.14744195615489714
24,0.0,0.15216634552317734,0.1414213562373095
26,0.0,0.14625635753618854,0.13608276348795434
28,0.0,0.14098666296732842,0.13130643285972254
30,0.0,0.13624873472819127,0.1270001270001905
32,0.0,0.1319592827657765,0.12309149097933272
34,0.0,0.12805086087790482,0.11952286093343936
36,0.0,0.12447136879732035,0.11624763874381928
38,0.0,0.12117638393099166,0.11322770341445956
40,0.0,0.1181292828968252,0.11043152607484653
42,0.0,0.11530269337589791,0.10783277320343841
44,0.0,0.11266899857532381,0.10540925533894598
46,0.0,0.11020793095686665,0.10314212462587934
48,0.0,0.1079012343178313,0.10101525445522107
50,0.0,0.10573384833427271,0.09901475429766744
