N,delta_opt,bounded_subgrad,minimax_rate
2,0.45675027764211545,0.44226732278663794,0.4082482904638631
4,0.33948419091787574,0.3241327145919951,0.31622776601683794
6,0.2993117147551483,0.2704424588443071,0.2672612419124244
8,0.2684883126600993,0.23733879029299176,0.23570226039551587
10,0.2623755741599863,0.21416953502506592,0.21320071635561041
12,0.2576741729967072,0.19674449777881753,0.19611613513818404
14,0.24171501187403982,0.1830086756027659,0.18257418583505536
16,0.23337010668734476,0.17181369052512996,0.17149858514250882
18,0.0,0.16245838134349666,0.16222142113076254
20,0.0,0.15448675571726628,0.1543033499620919
22,0.0,0.14758737304364639,0.14744195615489714
24,0.0,0.14153878035299944,0.1414213562373095
26,0.0,0.13617929939194948,0.13608276348795434
28,0.0,0.13138699076779295,0.13130643285972254
30,0.0,0.12706799341594704,0.1270001270001905
32,0.0,0.12314956182276908,0.12309149097933272
34,0.0,0.11957266938366987,0.11952286093343936
36,0.0,0.11629091146243956,0.11624763874381928
38,0.0,0.11326539720430272,0.11322770341445956
40,0.0,0.11046473127409416,0.11043152607484653
42,0.0,0.10786219789808335,0.10783277320343841
44,0.0,0.1054352886756107,0.10540925533894598
46,0.0,0.10316547659538532,0.10314212462587934
48,0.0,0.10103628493184577,0.10101525445522107
50,0.0,0.09903325655588455,0.09901475429766744
