N,obj
10,0.006286484196568023
15,0.0031608510725970812
20,0.0019044407536618338
25,0.0012740366845669067
30,0.0009127301782555243
35,0.0006863007882779997
40,0.0005349870932919548
45,0.00042883483959984576
50,0.00035147730087692266
55,0.00029336185237111424
60,0.0002485757826058918
65,0.00021334144608505147
70,0.00018510909084676463
75,0.0001621401447973805
80,0.00014320488859937314
85,0.00012741287225015522
90,0.00011409160607400319
95,0.00010276670042163475
100,9.304313312574559e-5
105,8.464355294109788e-5
110,7.733006965983189e-5
115,7.093133865179685e-5
120,6.529035156100793e-5
125,6.030399529771229e-5
130,5.586028133894786e-5
135,5.189569056842711e-5
140,4.833853173671183e-5
145,4.513446799786109e-5
150,4.2238687498107025e-5
155,3.961477404178123e-5
160,3.723188651029317e-5
165,3.5050275410484096e-5
170,3.3057978275254226e-5
175,3.123232252517184e-5
180,2.9556669132069106e-5
185,2.8005103076361632e-5
190,2.65796946197092e-5
195,2.5258735148152786e-5
200,2.4031242899337682e-5
