N,obj
10,0.3015113389128883
15,0.24999998475807123
20,0.21821775304587104
25,0.19611609675159813
30,0.17960526967255946
35,0.16666633888652643
40,0.15617374296199057
45,0.14744195235029642
50,0.14002798789040116
55,0.13363058479091272
60,0.12803680750302449
65,0.12309147062103888
70,0.11867815947974897
75,0.11470785525704053
80,0.11111110970151858
85,0.10783277060411231
90,0.1048284816605807
95,0.10206207160741912
100,0.0995036449384393
105,0.09712841151035896
110,0.0949157541063354
115,0.09284764490956578
120,0.09090903450950055
125,0.08908699019240546
130,0.0873702867933179
135,0.08574915963070606
140,0.084215066560425
145,0.0827604957290834
150,0.08137880691963632
155,0.08006403428105817
160,0.07881090126145654
165,0.07761480643422893
170,0.07647154374195828
175,0.07537734106406521
180,0.07432880936275563
185,0.0733229076245353
190,0.07235680934956729
195,0.0714279338186606
200,0.07053395546411671
