N,p_0.0,p_0.25,p_0.5,p_0.75,p_1.0
2,0.5287059518780957,0.3958093116283963,0.32075762153122517,0.2707811091592291,0.23205964886358998
3,0.4305209668228225,0.3289407726099494,0.27086509790070445,0.23173923568041888,0.2000116284421248
4,0.3743480990994864,0.28800954488277536,0.23856446527064612,0.20642601685533205,0.179300727981259
5,0.3329032278466323,0.25781170911206197,0.21629632878320837,0.18832722386999926,0.16443156032167636
6,0.30428190265382493,0.2350360548979704,0.1988373070942798,0.17443121924697633,0.15302386678041907
7,0.28387088059050314,0.21737912162470144,0.18430566778501647,0.1634321929660065,0.14392194623005672
8,0.26557262329133313,0.2029821415175077,0.17342713272621718,0.15426257542183305,0.13637477766485312
9,0.25107654424912573,0.19079426453178788,0.16476152298235272,0.14656388847698026,0.13001965963770462
10,0.23902244503985967,0.1805547736200721,0.15554079302368146,0.13996740774837008,0.12456508640404311
11,0.2272842191805699,0.17225214747467482,0.1490285138703724,0.13421643239727396,0.11979142882282912
12,0.2182169619942566,0.16530833129304273,0.14367160358268577,0.12916982434372845,0.11554775535025961
13,0.20889188894913707,0.15807362478108022,0.13783511545254906,0.12475514527784386,0.11186144480466906
14,0.20338331320429306,0.15162729639823622,0.13266218040896033,0.12061456341283645,0.10839280815141217
15,0.19757220690455612,0.14684342202889789,0.1280568715062837,0.11704532993907593,0.10532792134343298
16,0.19174511958973453,0.1426360818717306,0.12460785827273453,0.11362122290398641,0.10252765326548201
17,0.18595012225218763,0.13771898706481672,0.12069290318043802,0.11069062800917207,0.1001928243147764
18,0.1816215275398147,0.13335832309118528,0.11715175474947234,0.10787252175216559,0.09759539185467034
19,0.17721746649603232,0.1302429194349341,0.115773038043855,0.10552415685674786,0.09533400395237322
20,0.17524714776208103,0.1262405748429514,0.11154346718903119,0.1028699632229048,0.0933303053163388
