k1,k2,k3,p,value
0.001,0.001,0.001,0.01,110.27095044963283
0.001,0.001,0.001,0.06157894736842105,61.26131052646841
0.001,0.001,0.001,0.11315789473684211,36.4356326174794
0.001,0.001,0.001,0.16473684210526315,22.977194226477806
0.001,0.001,0.001,0.2163157894736842,15.242885864930017
0.001,0.001,0.001,0.26789473684210524,10.568214065455827
0.001,0.001,0.001,0.3194736842105263,7.616257521784405
0.001,0.001,0.001,0.37105263157894736,5.6795566191219855
0.001,0.001,0.001,0.4226315789473684,4.365792248134932
0.001,0.001,0.001,0.47421052631578947,3.4482007611075414
0.001,0.001,0.001,0.5257894736842105,2.7907999776440917
0.001,0.001,0.001,0.5773684210526315,2.3093378085933676
0.001,0.001,0.001,0.6289473684210526,1.9500839012822002
0.001,0.001,0.001,0.6805263157894736,1.6779046843177312
0.001,0.001,0.001,0.7321052631578947,1.4693553501976941
0.001,0.001,0.001,0.7836842105263158,1.3085906058052794
0.001,0.001,0.001,0.8352631578947368,1.1849479916612653
0.001,0.001,0.001,0.8868421052631579,1.091673164694952
0.001,0.001,0.001,0.9384210526315789,1.0259488262744716
0.001,0.001,0.001,0.99,0.9949835719386115
0.001,0.001,0.126,0.01,92.38878685911897
0.001,0.001,0.126,0.06157894736842105,54.826084493558795
0.001,0.001,0.126,0.11315789473684211,33.96374150183047
0.001,0.001,0.126,0.16473684210526315,21.968788209089382
0.001,0.001,0.126,0.2163157894736842,14.808610185969385
0.001,0.001,0.126,0.26789473684210524,10.372006927945591
0.001,0.001,0.126,0.3194736842105263,7.523814654883701
0.001,0.001,0.126,0.37105263157894736,5.634392488593058
0.001,0.001,0.126,0.4226315789473684,4.343031540315414
0.001,0.001,0.126,0.47421052631578947,3.436428303313374
0.001,0.001,0.126,0.5257894736842105,2.784581662185234
0.001,0.001,0.126,0.5773684210526315,2.306001115892105
0.001,0.001,0.126,0.6289473684210526,1.9482760341143432
0.001,0.001,0.126,0.6805263157894736,1.676923263900675
0.001,0.001,0.126,0.7321052631578947,1.4688275129821617
0.001,0.001,0.126,0.7836842105263158,1.3083145860685939
0.001,0.001,0.126,0.8352631578947368,1.1848128331433747
0.001,0.001,0.126,0.8868421052631579,1.09161705856152
0.001,0.001,0.126,0.9384210526315789,1.0259370426908516
0.001,0.001,0.126,0.99,0.9949966171910285
