k1,k2,k3,p,r,value
0.01,0.01,0.01,0.01,0.9801980198019802,11.551504857728588
0.01,0.01,0.01,0.08,0.8518518518518519,7.115184105410741
0.01,0.01,0.01,0.15,0.7391304347826088,4.763215007599793
0.01,0.01,0.01,0.22,0.639344262295082,3.4120912219575406
0.01,0.01,0.01,0.29,0.5503875968992248,2.5844986443267146
0.01,0.01,0.01,0.36,0.4705882352941177,2.050992986277464
0.01,0.01,0.01,0.43,0.39860139860139865,1.6930130332148927
0.01,0.01,0.01,0.5,0.3333333333333333,1.4455063943127255
0.01,0.01,0.01,0.57,0.2738853503184714,1.2709888550591106
0.01,0.01,0.01,0.64,0.2195121951219512,1.147046631484307
0.01,0.01,0.01,0.71,0.16959064327485382,1.0600187579945883
0.01,0.01,0.01,0.78,0.12359550561797751,1.0017617885907044
0.01,0.01,0.01,0.85,0.08108108108108109,0.9682374180719995
0.01,0.01,0.01,0.92,0.04166666666666665,0.9600614514727521
0.01,0.01,0.01,0.99,0.005025125628140708,0.993057520332894
0.01,0.01,0.08,0.01,0.9801980198019802,11.280698722439055
0.01,0.01,0.08,0.08,0.8518518518518519,7.013352112989768
0.01,0.01,0.08,0.15,0.7391304347826088,4.721424318557439
0.01,0.01,0.08,0.22,0.639344262295082,3.3936998498751834
0.01,0.01,0.08,0.29,0.5503875968992248,2.5759420108822493
0.01,0.01,0.08,0.36,0.4705882352941177,2.0468347126541078
0.01,0.01,0.08,0.43,0.39860139860139865,1.6909251112713104
0.01,0.01,0.08,0.5,0.3333333333333333,1.4444349324710926
0.01,0.01,0.08,0.57,0.2738853503184714,1.2704339163563256
0.01,0.01,0.08,0.64,0.2195121951219512,1.1467615451913042
0.01,0.01,0.08,0.71,0.16959064327485382,1.0598777423287862
0.01,0.01,0.08,0.78,0.12359550561797751,1.0016989391464284
0.01,0.01,0.08,0.85,0.08108108108108109,0.9682174505683423
0.01,0.01,0.08,0.92,0.04166666666666665,0.9600651909065032
0.01,0.01,0.08,0.99,0.005025125628140708,0.9930745482697172
0.01,0.01,0.15,0.01,0.9801980198019802,11.09944896489501
0.01,0.01,0.15,0.08,0.8518518518518519,6.949691976104464
0.01,0.01,0.15,0.15,0.7391304347826088,4.696988322543463
0.01,0.01,0.15,0.22,0.639344262295082,3.383620467855323
0.01,0.01,0.15,0.29,0.5503875968992248,2.5715381047007604
0.01,0.01,0.15,0.36,0.4705882352941177,2.0448224216521655
0.01,0.01,0.15,0.43,0.39860139860139865,1.6899753935350184
0.01,0.01,0.15,0.5,0.3333333333333333,1.4439783937629116
0.01,0.01,0.15,0.57,0.2738853503184714,1.2702146367228595
0.01,0.01,0.15,0.64,0.2195121951219512,1.1466597760657269
0.01,0.01,0.15,0.71,0.16959064327485382,1.0598355428841484
0.01,0.01,0.15,0.78,0.12359550561797751,1.0016874965446183
0.01,0.01,0.15,0.85,0.08108108108108109,0.968222126794136
0.01,0.01,0.15,0.92,0.04166666666666665,0.9600784403271851
0.01,0.01,0.15,0.99,0.005025125628140708,0.9930924782283359
0.01,0.01,0.22,0.01,0.9801980198019802,10.950755750296935
0.01,0.01,0.22,0.08,0.8518518518518519,6.898702579152882
0.01,0.01,0.22,0.15,0.7391304347826088,4.67789539569447
0.01,0.01,0.22,0.22,0.639344262295082,3.3759355084930025
0.01,0.01,0.22,0.29,0.5503875968992248,2.5682600237333233
0.01,0.01,0.22,0.36,0.4705882352941177,2.0433600443308126
0.01,0.01,0.22,0.43,0.39860139860139865,1.6893023270974652
0.01,0.01,0.22,0.5,0.3333333333333333,1.443664029502746
0.01,0.01,0.22,0.57,0.2738853503184714,1.2700693538929562
0.01,0.01,0.22,0.64,0.2195121951219512,1.1465966142722577
0.01,0.01,0.22,0.71,0.16959064327485382,1.0598132557061355
0.01,0.01,0.22,0.78,0.12359550561797751,1.001685977496134
0.01,0.01,0.22,0.85,0.08108108108108109,0.9682313644833931
0.01,0.01,0.22,0.92,0.04166666666666665,0.9600933786640407
0.01,0.01,0.22,0.99,0.005025125628140708,0.9931105619460596
0.01,0.01,0.29,0.01,0.9801980198019802,10.821018388025557
0.01,0.01,0.29,0.08,0.8518518518518519,6.854826508042905
0.01,0.01,0.29,0.15,0.7391304347826088,4.661718848554248
0.01,0.01,0.29,0.22,0.639344262295082,3.3695260755184364
0.01,0.01,0.29,0.29,0.5503875968992248,2.565568450180594
0.01,0.01,0.29,0.36,0.4705882352941177,2.0421782006869593
0.01,0.01,0.29,0.43,0.39860139860139865,1.6887676022240985
0.01,0.01,0.29,0.5,0.3333333333333333,1.4434194147476846
0.01,0.01,0.29,0.57,0.2738853503184714,1.269959712251418
0.01,0.01,0.29,0.64,0.2195121951219512,1.1465517211248115
0.01,0.01,0.29,0.71,0.16959064327485382,1.0598002302929017
0.01,0.01,0.29,0.78,0.12359550561797751,1.0016889976540928
0.01,0.01,0.29,0.85,0.08108108108108109,0.9682426548755867
0.01,0.01,0.29,0.92,0.04166666666666665,0.9601090649572543
0.01,0.01,0.29,0.99,0.005025125628140708,0.9931287126918704
0.01,0.01,0.36,0.01,0.9801980198019802,10.704253466995794
0.01,0.01,0.36,0.08,0.8518518518518519,6.815694080904795
0.01,0.01,0.36,0.15,0.7391304347826088,4.647450362741544
0.01,0.01,0.36,0.22,0.639344262295082,3.3639378731482434
0.01,0.01,0.36,0.29,0.5503875968992248,2.563249026367913
0.01,0.01,0.36,0.36,0.4705882352941177,2.041171936398369
0.01,0.01,0.36,0.43,0.39860139860139865,1.688318335233391
0.01,0.01,0.36,0.5,0.3333333333333333,1.4432173468083365
0.01,0.01,0.36,0.57,0.2738853503184714,1.2698715484127172
0.01,0.01,0.36,0.64,0.2195121951219512,1.1465177077164048
0.01,0.01,0.36,0.71,0.16959064327485382,1.0597926577273444
0.01,0.01,0.36,0.78,0.12359550561797751,1.001694660536372
0.01,0.01,0.36,0.85,0.08108108108108109,0.968255127349753
0.01,0.01,0.36,0.92,0.04166666666666665,0.9601251773751751
0.01,0.01,0.36,0.99,0.005025125628140708,0.9931469012230147
0.01,0.01,0.43,0.01,0.9801980198019802,10.597165002687873
0.01,0.01,0.43,0.08,0.8518518518518519,6.780027969684422
0.01,0.01,0.43,0.15,0.7391304347826088,4.634555649574537
0.01,0.01,0.43,0.22,0.639344262295082,3.3589337793158727
0.01,0.01,0.43,0.29,0.5503875968992248,2.5611914125378767
0.01,0.01,0.43,0.36,0.4705882352941177,2.0402879296600274
0.01,0.01,0.43,0.43,0.39860139860139865,1.6879279911375562
0.01,0.01,0.43,0.5,0.3333333333333333,1.4430443378647873
0.01,0.01,0.43,0.57,0.2738853503184714,1.2697979195133753
0.01,0.01,0.43,0.64,0.2195121951219512,1.1464909916412194
0.01,0.01,0.43,0.71,0.16959064327485382,1.0597887108565258
0.01,0.01,0.43,0.78,0.12359550561797751,1.001702065748185
0.01,0.01,0.43,0.85,0.08108108108108109,0.9682683727072248
0.01,0.01,0.43,0.92,0.04166666666666665,0.9601415661413135
0.01,0.01,0.43,0.99,0.005025125628140708,0.9931651140619926
0.01,0.01,0.5,0.01,0.9801980198019802,10.497695311377676
0.01,0.01,0.5,0.08,0.8518518518518519,6.7470444883968135
0.01,0.01,0.5,0.15,0.7391304347826088,4.622711184982373
0.01,0.01,0.5,0.22,0.639344262295082,3.3543718347774636
0.01,0.01,0.5,0.29,0.5503875968992248,2.5593302376638967
0.01,0.01,0.5,0.36,0.4705882352941177,2.039494899729106
0.01,0.01,0.5,0.43,0.39860139860139865,1.6875811491847204
0.01,0.01,0.5,0.5,0.3333333333333333,1.4428926199618095
0.01,0.01,0.5,0.57,0.2738853503184714,1.269734861633987
0.01,0.01,0.5,0.64,0.2195121951219512,1.146469544712804
0.01,0.01,0.5,0.71,0.16959064327485382,1.0597873636394772
