k1,k2,k3,p,r,value
0.01,0.01,0.01,0.01,0.9801980198019802,0.04332171115360897
0.01,0.01,0.01,0.08,0.8518518518518519,0.0703708142642358
0.01,0.01,0.01,0.15,0.7391304347826088,0.10519163706046741
0.01,0.01,0.01,0.22,0.639344262295082,0.14696844511964646
0.01,0.01,0.01,0.29,0.5503875968992248,0.1942133376222257
0.01,0.01,0.01,0.36,0.4705882352941177,0.24498070286023454
0.01,0.01,0.01,0.43,0.39860139860139865,0.29708955987303143
0.01,0.01,0.01,0.5,0.3333333333333333,0.34831399556522524
0.01,0.01,0.01,0.57,0.2738853503184714,0.3965205172453161
0.01,0.01,0.01,0.64,0.2195121951219512,0.43974323714777697
0.01,0.01,0.01,0.71,0.16959064327485382,0.476190394871032
0.01,0.01,0.01,0.78,0.12359550561797751,0.5041622385760998
0.01,0.01,0.01,0.85,0.08108108108108109,0.52180032927302
0.01,0.01,0.01,0.92,0.04166666666666665,0.5262903140628037
0.01,0.01,0.01,0.99,0.005025125628140708,0.508624749299035
0.01,0.01,0.08,0.01,0.9801980198019802,0.04433451421437551
0.01,0.01,0.08,0.08,0.8518518518518519,0.07137061843782538
0.01,0.01,0.08,0.15,0.7391304347826088,0.1061069918022895
0.01,0.01,0.08,0.22,0.639344262295082,0.14775540706185897
0.01,0.01,0.08,0.29,0.5503875968992248,0.19485449349413364
0.01,0.01,0.08,0.36,0.4705882352941177,0.24547890929808847
0.01,0.01,0.08,0.43,0.39860139860139865,0.29746030005089286
0.01,0.01,0.08,0.5,0.3333333333333333,0.34857868844665396
0.01,0.01,0.08,0.57,0.2738853503184714,0.39670170122427284
0.01,0.01,0.08,0.64,0.2195121951219512,0.43986165338272554
0.01,0.01,0.08,0.71,0.16959064327485382,0.47626358120894285
0.01,0.01,0.08,0.78,0.12359550561797751,0.5042041470054646
0.01,0.01,0.08,0.85,0.08108108108108109,0.5218215414182423
0.01,0.01,0.08,0.92,0.04166666666666665,0.5262985463791927
0.01,0.01,0.08,0.99,0.005025125628140708,0.5086254708602247
0.01,0.01,0.15,0.01,0.9801980198019802,0.045014840057921834
0.01,0.01,0.15,0.08,0.8518518518518519,0.0719929471461151
0.01,0.01,0.15,0.15,0.7391304347826088,0.10663837032567136
0.01,0.01,0.15,0.22,0.639344262295082,0.14818349057228353
0.01,0.01,0.15,0.29,0.5503875968992248,0.195182476604552
0.01,0.01,0.15,0.36,0.4705882352941177,0.24571924768092224
0.01,0.01,0.15,0.43,0.39860139860139865,0.29762933772996814
0.01,0.01,0.15,0.5,0.3333333333333333,0.34869296498650204
0.01,0.01,0.15,0.57,0.2738853503184714,0.39677588445816414
0.01,0.01,0.15,0.64,0.2195121951219512,0.4399076934317443
0.01,0.01,0.15,0.71,0.16959064327485382,0.4762906317778126
0.01,0.01,0.15,0.78,0.12359550561797751,0.5042188864707584
0.01,0.01,0.15,0.85,0.08108108108108109,0.5218286461736499
0.01,0.01,0.15,0.92,0.04166666666666665,0.5263011740212142
0.01,0.01,0.15,0.99,0.005025125628140708,0.5086256904655666
0.01,0.01,0.22,0.01,0.9801980198019802,0.04557565988763021
0.01,0.01,0.22,0.08,0.8518518518518519,0.07249048805383446
0.01,0.01,0.22,0.15,0.7391304347826088,0.10705187381988412
0.01,0.01,0.22,0.22,0.639344262295082,0.14850852067669262
0.01,0.01,0.22,0.29,0.5503875968992248,0.19542585882250507
0.01,0.01,0.22,0.36,0.4705882352941177,0.24589375213449605
0.01,0.01,0.22,0.43,0.39860139860139865,0.2977495289857788
0.01,0.01,0.22,0.5,0.3333333333333333,0.3487725844915541
0.01,0.01,0.22,0.57,0.2738853503184714,0.39682655434672687
0.01,0.01,0.22,0.64,0.2195121951219512,0.439938534913908
