Complexity,Loss,Equation
1,0.020051958256891326,"0.6325939035782168"
3,0.005450098382045206,"(0.7825939093965009 - x1)"
4,0.004832779672502702,"(1.7988250083944461 - exp(x1))"
5,0.0038104546349581733,"(0.8524490248302591 - (x1 * 1.4657007594202462))"
8,0.003284525759853845,"(exp((0.10857110437695228 - x1) - x1) - 0.20831747632721248)"
10,0.0030396111169707957,"((exp((x1 * -1.0838095587382288) - x1) + -0.06908703654316307) - 0.04194977013251208)"
12,0.0025017098216499833,"(exp(((0.10857110437695228 - x1) - x1) / (0.8500834724440812 + x1)) - 0.20831747632721248)"
14,0.0024695823329599935,"(exp(((0.10857110437695228 - x1) - x1) / (0.8500834724440812 + (x1 - 0.0315360393717044))) - 0.20831747632721248)"
18,0.002155463133911306,"(exp((((((x1 + -0.23555575562763403) * x1) + 0.10857110437695228) - x1) - x1) / (0.8500834724440812 + x1)) - 0.20831747632721248)"
20,0.002118505282242866,"(exp(((((x1 * ((x1 + -0.23555575562763403) * 1.1438017696089529)) + 0.10857110437695228) - x1) - x1) / (0.8500834724440812 + x1)) - 0.20831747632721248)"
