Complexity,Loss,Equation
1,0.046414323,"0.39606547"
3,0.0036507968,"0.08206811 ^ x0"
5,0.00046263883,"1.0734061 - (x0 ^ 0.4020891)"
7,0.00041756724,"(1.0746082 - (x0 ^ 0.34792542)) * 1.083448"
8,0.00014179028,"1.2838846 - ((x0 * exp(x0)) ^ 0.220883)"
9,8.383251e-5,"(x0 + 1.3109266) * (1.0120945 - (x0 ^ 0.26651183))"
10,5.6035184e-5,"(2.7191901 - exp(x0 ^ 0.13708651)) * (x0 + 0.91724455)"
11,4.1594016e-5,"(1.0023466 - (x0 ^ 0.22729036)) * ((x0 + 0.8915927) * 1.6181748)"
13,3.790795e-5,"((1.0054665 - (x0 ^ 0.21980728)) * 1.5133035) * ((x0 ^ 0.8991219) + 0.956376)"
15,3.282013e-5,"((x0 + (x0 + 1.3654491)) + x0) * ((1.0336293 - (x0 ^ 0.28062126)) ^ 1.3829876)"
17,3.111901e-5,"((1.0312784 - (x0 ^ 0.26715425)) ^ 1.3296764) * ((((x0 + x0) ^ 0.94658786) + 0.973803) * 1.421028)"
18,3.0215107e-5,"((1.031345 - (x0 ^ 0.2750188)) ^ 1.3956804) * (((x0 + x0) ^ 0.86924344) + (exp(x0) + 0.37551504))"
20,2.9959676e-5,"((1.031636 - (x0 ^ 0.27319434)) ^ 1.4038439) * (exp(x0) + (((1.0545125 * (x0 + x0)) ^ 0.8690722) + 0.38300723))"
