Complexity,Loss,Equation
1,0.046414323,"0.39606544"
3,0.0036507968,"0.08206599 ^ x0"
5,0.00046263877,"1.0734032 - (x0 ^ 0.40208527)"
7,0.0004175636,"1.1650443 - ((x0 * 1.261692) ^ 0.34751627)"
9,8.382134e-5,"(x0 + 1.3119761) * (1.012168 - (x0 ^ 0.26616246))"
10,7.2133524e-5,"exp(x0 + 0.37498844) * (0.9918112 - (x0 ^ 0.23315568))"
11,4.159461e-5,"((1.0023475 - (x0 ^ 0.2272565)) * (x0 + 0.89132607)) / 0.61775726"
12,3.4999608e-5,"((exp(x0) * -0.386261) + 1.059369) / ((x0 ^ 0.30700967) + 0.46505585)"
13,2.8156464e-5,"(0.8533537 / (((x0 + x0) ^ (x0 + 0.4022685)) + 0.5197836)) + -0.23002347"
15,2.377339e-5,"((0.63905346 ^ x0) * (0.8631521 / ((x0 ^ (x0 + 0.36406156)) + 0.49033526))) + -0.3334058"
17,2.3750927e-5,"(0.8668675 * ((0.63363284 ^ x0) / (((x0 ^ (x0 + 0.36308327)) * 1.0101492) + 0.49355367))) + -0.32782325"
18,1.3019281e-5,"(((exp(x0 / 1.2865164) * -1.0810295) + 1.1106181) / (((x0 + x0) ^ 0.61487234) + 0.04757668)) + 0.79484063"
20,1.0104642e-5,"(((exp(x0 / 1.4353371) * -1.0196778) + 1.0340511) / ((((x0 + x0) ^ 0.6438357) + 0.034579363) * 0.74769926)) + 0.8621648"
