Complexity,Loss,Equation
1,0.046414323,"0.39606544"
3,0.0036507968,"0.082066 ^ x0"
5,0.00046263885,"1.0733945 - (x0 ^ 0.40209588)"
7,0.00041756313,"(1.0746702 - (x0 ^ 0.3474304)) / 0.922354"
9,8.38209e-5,"(1.0121899 - (x0 ^ 0.2661397)) * (x0 - -1.3119307)"
10,7.213295e-5,"(0.99182385 - (x0 ^ 0.233172)) * exp(x0 + 0.37488574)"
11,4.1591647e-5,"(1.0024201 - (x0 ^ 0.22789006)) * (1.4404086 - (x0 * -1.609173))"
13,3.7554746e-5,"(1.0145249 - (x0 ^ 0.21162502)) * (1.4606498 - ((x0 + -1.9545077) * x0))"
14,1.5875654e-5,"((exp(x0 - (0.0026185985 / x0)) * -0.18092577) + 1.5045848) - (x0 ^ 0.18783286)"
16,1.4503107e-5,"(exp(x0 - (0.0027909959 / x0)) * -0.1821122) + (1.5002618 - ((x0 ^ 0.18783286) * 0.9926662))"
18,1.4503098e-5,"(exp(x0 - (0.0027909959 / x0)) * -0.1821122) + (1.5002618 - (((x0 ^ 0.18783286) / 1.0011367) * 0.9937945))"
20,1.4448968e-5,"(((exp((x0 * 1.0011367) - (0.0027909959 / x0)) * -0.1821122) + 1.5016806) - ((x0 ^ 0.18783286) * 0.9937945)) / 1.0011367"
