Complexity,Loss,Equation
1,0.046414323,"0.39606544"
3,0.0036507968,"0.08205333 ^ x0"
5,0.00046263883,"1.073392 - (x0 ^ 0.40211886)"
7,0.00041756348,"((x0 ^ 0.3472524) * -1.084499) + 1.1654824"
9,8.382e-5,"(x0 + 1.3123071) * (1.0122027 - (x0 ^ 0.26602843))"
10,7.213285e-5,"exp(x0) * (((x0 ^ 0.23317572) * -1.4548198) + 1.4429185)"
11,4.1588864e-5,"(1.6140635 + ((x0 ^ 0.22772947) * -1.610153)) * (x0 + 0.89501345)"
13,1.6084088e-5,"(4.912453 / ((x0 + 0.02809784) ^ -0.3485163)) + ((x0 ^ 0.4510156) * -4.926024)"
15,1.4540942e-5,"((x0 ^ 0.43326843) * -4.5635276) + (3.6458478 / (((x0 + x0) + 0.053672746) ^ -0.32290846))"
17,1.12532125e-5,"((x0 ^ 0.5237361) * -8.862455) + ((5.978529 / (((x0 + 0.02491442) + x0) ^ -0.4915014)) + 0.44126832)"
19,1.1246092e-5,"(((5.97615 / (((x0 + x0) + 0.025066102) ^ -0.49178123)) + 0.43836194) * 1.0006264) + ((x0 ^ 0.52416044) * -8.86394)"
