Complexity,Loss,Equation
1,0.058106344,"0.75480175"
3,0.040452126,"p ^ 0.29748812"
5,0.024948992,"0.9010281 / (1.7698873 - p)"
7,0.023824211,"1.0723284 / (1.8596159 - (p ^ 1.775212))"
9,0.020296622,"p + (0.30580294 / ((p + k1) + k2))"
11,0.017209496,"(0.4214151 / (k1 + ((p / 0.4214151) + k2))) + p"
13,0.010114977,"(0.8261059 / (1.7045901 - p)) + (0.0022888226 / (k1 * (k2 + p)))"
15,0.0077531105,"(0.1309792 / ((k1 + (p ^ 2.2056077)) + k2)) + (0.52947557 / (1.4488826 - p))"
17,0.005870675,"(p - (0.34671524 ^ (k2 + k1))) + (0.8419342 / (p + ((k1 + k2) ^ 0.65673655)))"
19,0.0040509845,"(((0.61386585 / ((k2 + p) + k1)) + (1.3518112 ^ (k2 + k1))) / (1.9854139 - p)) - 0.52676153"
21,0.001597881,"(((1.234592 ^ (k2 + k1)) / (1.827887 - p)) + (0.18630838 / ((k2 + (p * p)) + k1))) - 0.40714335"
23,0.0013069336,"(((1.2272569 ^ (k1 + k2)) / (1.8177508 - p)) + (0.19011332 / (k1 + (k2 + ((p + k1) * p))))) - 0.39314985"
25,0.0009939824,"((1.2223438 ^ (k1 + k2)) / (1.8123127 - p)) + ((0.19754852 / ((p * (k2 + (p + k1))) + (k1 + k2))) - 0.3830761)"
27,0.0009242851,"(((1.216239 ^ (k2 + k1)) / (1.8083737 - p)) - 0.37266085) + (0.20121826 / ((k1 + ((k2 + ((k1 + p) + k1)) * p)) + k2))"
29,0.00083391176,"((0.20447378 / ((k2 + k1) + (((k1 + p) + ((k1 + k2) + k2)) * p))) + ((1.2094831 ^ (k1 + k2)) / (1.8031873 - p))) - 0.36168432"
