Complexity,Loss,Equation
1,0.27536637,"0.92983454"
3,0.018105486,"r * 2.1812637"
5,0.00028652168,"(r * 1.8111951) + 0.22390719"
7,6.816861e-5,"(0.090594366 ^ p) * (3.0097702 - r)"
9,5.872095e-5,"((0.095591746 ^ p) * (3.0279179 - r)) + -0.024488034"
11,5.350121e-5,"(r ^ 2.3179364) + (((0.27579314 / p) ^ p) - 0.010974094)"
13,4.3136737e-5,"((((p ^ r) + p) * -0.45104036) + 1.0112976) + (0.14575349 ^ p)"
15,4.2450953e-5,"((0.13043204 ^ p) * 0.8621079) + ((((p ^ r) + p) * -0.5016736) + 1.1465505)"
17,4.2449345e-5,"((p + ((p ^ r) + -0.0004131333)) * -0.5015075) + (((0.13004202 ^ p) * 0.86205065) + 1.1465304)"
19,4.1964413e-5,"((((p ^ r) + p) * -0.5004452) + (-2.0097472e-5 / r)) + (((0.12878425 ^ p) * 0.86226314) + 1.1468712)"
21,4.1915635e-5,"((p + (p ^ r)) * -0.50730616) + (((r - 2.0892128e-5) / r) + (((0.12606068 ^ p) * 0.8436881) + 0.16547352))"
23,4.1850806e-5,"((0.112317376 ^ p) * 0.7822996) + (((p + (p ^ (r - -0.012579956))) * -0.5281541) + (((r - 2.2855183e-5) / r) + 0.2259506))"
25,4.185036e-5,"((((p + 2.2855183e-5) ^ (r - -0.012602812)) + p) * -0.5281541) + (((0.112317376 ^ p) * 0.7822996) + (((r - 2.2855183e-5) / r) + 0.2259506))"
