Complexity,Loss,Equation
1,0.24621458,"0.91813254"
3,0.016660608,"r * 2.1966393"
5,0.00021089618,"(r + 0.121906646) * 1.814373"
7,1.7065615e-5,"(0.09097765 ^ p) * (3.0032449 - r)"
9,1.0703708e-5,"(3.008908 - r) * ((0.094373524 ^ p) - 0.0055011716)"
11,1.3473746e-6,"(r + ((1.805054 - r) * (0.03654375 ^ p))) - -0.19300704"
13,8.8306075e-7,"((3.2600272 - r) * (0.8879042 / (r ^ -0.035769347))) * (0.104675405 ^ p)"
15,7.674779e-7,"(((4.0952654 - (r ^ 1.2431031)) * (0.11432712 ^ p)) * 0.64828366) / (r ^ -0.036820173)"
17,7.67474e-7,"((((4.0952654 - (r ^ 1.2431031)) * (0.11432712 ^ p)) / 0.9972358) * 0.64649165) / (r ^ -0.036820173)"
19,3.698712e-7,"((4.735179 ^ ((-1.1566764 - ((r * r) * -0.28191477)) * p)) / 0.4783592) - ((r ^ r) * 0.092398755)"
21,1.398083e-7,"((4.7351875 ^ (p * (-1.1517007 - ((r * r) * -0.27916133)))) / 0.49983302) - (((r ^ r) - r) * 0.080534935)"
23,1.346241e-7,"(((4.7346997 ^ (p * (-1.152037 - (r * (r * -0.280588))))) / 0.7069575) - (((r ^ r) - r) * 0.056748297)) / 0.70707333"
25,1.3233837e-7,"(((4.7343054 ^ (p * (-1.1497467 - (r * (r * -0.28007638))))) / 0.66999096) - (((0.051523674 - r) + (r ^ r)) * 0.05798142)) / 0.74462384"
